state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
State,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,624,469,519,642,528,517,559,582,566,541,460,484,6491
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,457,358,406,525,399,360,414,388,427,564,355,371,5024
,1.2,Number of Pregnant women registered under JSY,TOTAL,23,26,41,53,35,34,51,46,55,45,53,44,506
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,475,380,354,410,437,438,421,368,429,442,393,443,4990
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,494,361,368,522,410,422,445,427,427,454,362,361,5053
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,535,438,382,395,459,434,421,425,445,467,393,440,5234
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,335,417,384,422,990,439,459,4186,436,2247,1506,1469,13290
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,15,19,22,6,8,13,15,14,4,16,22,23,177
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,1,,,,1,0,0,0,0,0,7,9
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,349,336,302,370,600,635,688,693,687,658,687,934,6939
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,10,26,9,19,8,8,10,1,1,1,3,19,115
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,13,22,6,14,4,9,7,3,7,8,6,4,103
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,5,6,11,5,6,10,9,10,7,9,12,8,98
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,18,28,17,19,10,19,16,13,14,17,18,12,201
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,17,26,14,14,6,10,8,10,9,25,14,15,168
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,1,1,5,1,,1,1,1,2,2,3,2,20
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,383,470,406,392,384,376,139,353,420,342,355,391,4411
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,310,346,320,309,124,376,120,119,337,143,400,157,3061
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,20,22,25,35,13,11,41,40,30,39,33,35,344
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,14,11,19,29,15,6,31,20,18,27,28,27,245
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,0,0,0,0,0,0,0
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,,,4,0,0,0,0,2,6
,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,,,,,9,0,0,0,0,0,0,9
,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,53,75,65,62,72,79,83,62,89,74,88,84,886
