state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
State,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,402,986,412,497,452,486,376,511,396,392,406,399,5715
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,160,100,200,210,185,189,171,234,197,203,209,213,2271
,1.2,Number of Pregnant women registered under JSY,TOTAL,22,71,22,39,41,19,35,15,41,31,42,43,421
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,330,864,378,399,355,399,374,419,422,363,376,464,5143
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,294,607,301,337,316,297,352,341,294,320,323,294,4076
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,294,578,272,329,369,317,320,330,328,301,297,362,4097
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,508,1532,577,845,702,1189,1861,1775,781,1379,1067,3053,15269
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,24,23,23,78,37,35,55,45,73,35,48,41,517
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,3,,,1,,2,,1,,2,2,1,12
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,881,950,398,1706,1520,1385,1322,1430,1275,849,1041,1247,14004
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,32,129,8,65,41,52,34,32,15,41,16,19,484
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,6,27,23,17,19,17,8,13,11,17,8,16,182
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,18,46,13,39,35,31,30,31,41,21,27,25,357
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,24,73,36,56,54,48,38,44,52,38,35,41,539
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,23,64,125,53,41,39,45,41,46,28,38,41,584
