state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
State,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,588,355,478,512,516,491,485,552,502,492,415,547,5933
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,335,390,265,348,288,319,340,399,355,371,296,387,4093
,1.2,Number of Pregnant women registered under JSY,TOTAL,32,33,29,26,25,18,18,23,29,24,25,32,314
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,431,360,405,392,423,438,382,392,456,426,369,385,4859
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,389,338,347,368,369,380,358,394,419,327,331,381,4401
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,388,335,422,356,450,401,395,433,377,413,350,408,4728
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,415,315,381,405,487,416,490,442,476,360,425,412,5024
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,32,19,57,33,39,36,12,17,14,17,12,25,313
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1,3,,,,1,,,,,,,5
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,672,474,757,737,736,814,486,547,500,489,561,493,7266
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,53,74,40,32,32,56,17,48,20,30,33,22,457
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,7,6,14,12,11,12,11,16,8,28,23,14,162
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,19,32,23,32,15,19,8,18,22,6,7,,201
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,26,38,37,44,26,31,19,34,30,34,30,14,363
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,24,35,30,38,22,27,14,34,29,33,29,14,329
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,2,,,,2,5,,,,1,3,,13
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,377,362,426,454,419,428,459,420,357,408,383,377,4870
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,296,281,383,377,281,339,396,350,307,338,301,292,3941
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,,,,,,5,1,24,29,25,22,106
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,15,,,10,,,,15,15,7,10,,72
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,2,,,,2
,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,,,,,,,,,
,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,,,,,,,,,,,,
,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,74,100,81,79,68,78,87,80,68,64,70,69,918
,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,74,100,81,79,68,78,87,80,68,64,70,69,918
,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,,,,,,,,,,,,,
,4.1.1.a,Number of male live births,TOTAL,190,244,244,232,212,239,238,227,197,198,198,206,2625
,4.1.1.b,Number of female live births,TOTAL,208,194,217,249,227,209,235,221,178,217,212,182,2549
,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,398,438,461,481,439,448,473,448,375,415,410,388,5174
,4.1.2,Number of still births,TOTAL,4,7,7,6,6,11,8,6,12,4,3,3,77
,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,23,10,7,12,13,5,10,6,34,3,30,30,183
,4.2.1,Number of Newborns weighed at birth,TOTAL,417,436,458,492,390,448,471,446,375,435,387,384,5139
,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,49,56,53,39,66,73,59,82,69,71,66,75,758
,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,360,342,373,404,354,448,471,447,375,437,366,356,4733
,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,4,7,8,12,8,4,17,8,12,7,7,3,97
,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,2,11,4,11,8,12,11,17,12,6,11,7,112
,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,29,30,30,30,26,37,15,18,33,19,25,26,318
,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,35,48,42,53,42,53,43,43,57,32,43,36,527
,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,,,,,,,,,,,,,
,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,10,8,12,13,10,13,4,8,16,17,18,6,135
,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,5,2,7,6,7,7,,2,2,5,6,,49
,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,12,3,8,8,5,7,3,4,4,10,13,7,84
,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,32,45,22,32,16,27,24,26,19,9,10,8,270
,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,405,425,401,472,421,399,423,404,343,396,386,382,4857
,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,150,179,181,117,108,150,173,216,150,202,180,133,1939
,6.3,PNC maternal complications attended,TOTAL,3,,,3,,1,,,,,,,7
,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,16,9,13,7,6,3,7,4,10,18,18,14,125
,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,,,,,1,,,,,,,,1
,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,16,9,13,7,7,3,7,4,10,18,18,14,126
,7.2,Number of MTPs conducted at Private Facilities,TOTAL,,,,,,,,,,,,,
,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,,,9,9,12,8,5,13,,,,,56
,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,6,9,29,24,6,11,9,41,14,6,2,13,170
,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,6,9,38,33,18,19,14,54,14,6,2,13,226
,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,,,,,,,,,,,,,
,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,,,,,,,,,,,,,
,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,,,,,,,,,,,,,
,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,,,,,,,,2,2,,,,4
,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,,,,,,,,2,2,,,,4
,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,,,,,,,,61,,,,,61
,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,,,,329,,,,,,,,,329
,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,37,42,51,30,27,32,41,25,34,27,34,34,414
,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,37,42,51,359,27,32,41,86,34,27,34,34,804
,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,1,8,3,1,1,,,10,15,22,15,3,79
,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,,,,,,,,,,,,,
,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,6,23,23,6,27,25,21,25,7,17,25,26,231
,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,7,31,26,7,28,25,21,35,22,39,40,29,310
,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,,,,,,,,,,,,,
,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,,,,,,,,,,,,,
,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,18,,,9,2,,,,16,,,,45
,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,18,,,9,2,,,,16,,,,45
,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,13,8,11,20,14,10,17,9,27,21,10,20,180
,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,23,18,25,24,30,21,24,33,35,34,21,29,317
,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,11,7,17,18,6,6,11,19,20,6,2,2,125
,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,11,15,26,2,18,16,21,12,10,10,10,17,168
,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,,,1,,,,,,,,,,1
,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,58,48,80,64,68,53,73,73,92,71,43,68,791
,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,,,,,,,,,,,,,
,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,,,,,,,29,,,,,,29
,9.06,Number of IUCD removals,TOTAL,44,21,27,17,27,33,31,29,33,22,25,21,330
,9.07,Number of Oral Pills cycles distributed,TOTAL,992,651,906,1223,902,1089,1133,1022,1185,943,1234,952,12232
,9.08,Number of Condom pieces distributed,TOTAL,2965,2701,7741,7120,7691,8326,5365,5568,5849,4238,4470,2731,64765
,9.09,Number of Centchroman (weekly) pills given,TOTAL,6,,,,,,,,,,,,6
,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,14,25,29,55,12,23,40,30,30,44,12,29,343
