state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
State,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,454,493,502,557,519,471,455,504,585,555,406,491,5992
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,265,281,280,306,244,276,293,298,271,377,332,303,3526
,1.2,Number of Pregnant women registered under JSY,TOTAL,28,37,13,32,37,27,29,21,28,27,21,23,323
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,466,373,415,367,403,394,335,432,382,346,356,406,4675
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,303,333,370,398,348,350,360,385,385,402,422,389,4445
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,335,293,387,440,418,364,338,393,455,325,289,376,4413
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,854,1017,8260,668,786,656,451,515,513,516,463,542,15241
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,56,46,49,42,39,43,46,44,36,23,24,23,471
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1,,,11,7,,1,1,3,,1,,25
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,786,883,751,1066,981,1182,1384,1266,1298,752,1454,622,12425
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,23,49,15,25,51,49,56,102,201,47,82,,700
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,7,14,12,13,12,5,20,25,32,6,4,6,156
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,18,25,6,7,6,15,23,10,8,20,15,13,166
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,25,39,18,20,18,20,43,35,40,26,19,19,322
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,19,32,13,13,15,20,40,24,36,24,19,18,273
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,4,,,,,3,,5,2,,,14
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,435,406,332,298,393,414,429,432,333,293,285,373,4423
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,351,367,342,259,326,350,352,362,273,234,289,279,3784
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,2,,13,3,2,2,3,,6,2,5,16,54
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,,5,,,,48,3,8,23,1,15,103
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,4,2,,1,,,,,,,,,7
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,12,,33,33,,20,10,,,108
,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,,,27,,44,40,,25,20,,,156
,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,74,49,65,60,45,63,80,67,90,92,72,84,841
,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
