state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
State,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,410,495,505,507,495,431,456,501,440,458,426,365,5489
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,323,369,381,382,399,353,359,377,318,341,334,287,4223
,1.2,Number of Pregnant women registered under JSY,TOTAL,37,33,46,39,38,27,46,51,33,44,41,52,487
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,381,472,374,386,349,386,378,353,327,356,347,333,4442
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,314,397,400,422,368,342,344,361,327,346,325,302,4248
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,317,423,426,477,392,384,448,411,359,371,354,325,4687
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,6899,1109,1490,2026,1079,1104,1044,1523,1442,588,654,415,19373
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,10,24,33,30,29,41,43,43,28,55,36,28,400
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0,3,2,2,5,2,1,2,1,0,3,2,23
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,526,668,896,952,854,712,881,861,731,758,705,447,8991
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,12,18,1,12,14,16,24,9,16,8,4,17,151
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,3,3,6,9,6,2,3,7,7,4,2,1,53
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,7,11,9,6,5,8,8,7,9,5,8,4,87
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,10,14,15,15,11,10,11,14,16,9,10,5,140
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,9,10,8,9,5,10,10,12,7,7,6,0,93
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,2,0,1,3,2,1,1,1,4,0,1,0,16
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,363,392,423,158,327,339,387,359,303,344,307,388,4090
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,138,290,300,116,213,214,207,199,232,245,96,271,2521
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,23,44,38,49,25,33,35,21,16,23,25,20,352
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,15,22,14,16,15,25,26,15,14,13,12,0,187
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,2,0,0,1,1,0,0,0,4
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
